"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2020","1,234.48","1,237.15","1,244.04","1,231.30","143.32M","0.16%"
"Sep 14, 2020","1,232.48","1,219.84","1,239.16","1,219.84","161.48M","1.35%"
"Sep 11, 2020","1,216.07","1,214.73","1,221.45","1,206.93","148.60M","0.39%"
"Sep 10, 2020","1,211.40","1,231.02","1,233.73","1,208.60","156.20M","-1.55%"
"Sep 09, 2020","1,230.48","1,214.10","1,240.44","1,214.10","153.77M","1.77%"
"Sep 08, 2020","1,209.04","1,226.67","1,226.67","1,205.91","175.34M","-1.68%"
"Sep 04, 2020","1,229.65","1,240.06","1,244.25","1,214.63","185.43M","-0.73%"
"Sep 03, 2020","1,238.68","1,275.71","1,276.28","1,229.72","204.35M","-2.74%"
"Sep 02, 2020","1,273.61","1,248.20","1,276.15","1,243.87","188.78M","2.09%"
"Sep 01, 2020","1,247.56","1,258.94","1,259.44","1,240.65","188.45M","-0.98%"
"Aug 31, 2020","1,259.88","1,255.12","1,265.10","1,253.15","185.91M","0.32%"
"Aug 28, 2020","1,255.85","1,254.85","1,256.33","1,247.11","156.20M","0.20%"
"Aug 27, 2020","1,253.32","1,245.12","1,259.13","1,237.16","191.36M","0.78%"
"Aug 26, 2020","1,243.59","1,242.32","1,244.91","1,230.42","139.11M","-0.12%"
"Aug 25, 2020","1,245.11","1,239.47","1,245.57","1,238.56","142.76M","0.70%"
"Aug 24, 2020","1,236.45","1,245.23","1,248.00","1,229.33","141.72M","-0.54%"
"Aug 21, 2020","1,243.13","1,242.62","1,244.87","1,233.88","151.73M","0.09%"
"Aug 20, 2020","1,242.04","1,241.54","1,244.20","1,238.85","123.03M","-0.29%"
"Aug 19, 2020","1,245.63","1,250.30","1,254.78","1,243.49","138.38M","-0.35%"
"Aug 18, 2020","1,250.04","1,252.16","1,255.39","1,243.86","112.42M","-0.03%"
"Aug 17, 2020","1,250.47","1,245.77","1,255.18","1,245.77","123.98M","0.58%"
"Aug 14, 2020","1,243.21","1,243.50","1,248.52","1,238.44","110.28M","-0.22%"
"Aug 13, 2020","1,245.90","1,243.54","1,246.96","1,237.87","118.71M","-0.17%"
"Aug 12, 2020","1,247.96","1,231.19","1,251.51","1,231.19","135.62M","1.72%"
"Aug 11, 2020","1,226.88","1,238.33","1,242.23","1,224.28","167.22M","-0.65%"
"Aug 10, 2020","1,234.88","1,239.24","1,240.24","1,231.60","141.61M","-0.34%"
"Aug 07, 2020","1,239.10","1,234.87","1,239.21","1,230.35","149.78M","0.35%"
"Aug 06, 2020","1,234.73","1,242.66","1,245.44","1,226.12","166.87M","-0.57%"
"Aug 05, 2020","1,241.86","1,239.18","1,243.82","1,238.69","168.09M","0.49%"
"Aug 04, 2020","1,235.79","1,239.50","1,241.40","1,228.45","163.94M","-0.45%"
"Aug 03, 2020","1,241.39","1,234.02","1,245.38","1,234.02","173.23M","1.04%"
"Jul 31, 2020","1,228.58","1,233.59","1,234.93","1,212.97","199.66M","-0.55%"
"Jul 30, 2020","1,235.39","1,236.68","1,237.97","1,223.14","159.83M","-0.77%"
"Jul 29, 2020","1,244.95","1,234.75","1,250.08","1,234.65","178.13M","1.08%"
"Jul 28, 2020","1,231.63","1,234.65","1,239.86","1,230.22","174.25M","-0.14%"
"Jul 27, 2020","1,233.39","1,221.28","1,236.43","1,219.67","151.74M","0.72%"
"Jul 24, 2020","1,224.52","1,238.63","1,238.63","1,216.56","157.40M","-1.11%"
"Jul 23, 2020","1,238.28","1,246.21","1,252.38","1,233.98","186.07M","-0.41%"
"Jul 22, 2020","1,243.35","1,238.07","1,245.50","1,231.73","203.73M","0.85%"
"Jul 21, 2020","1,232.87","1,234.82","1,242.32","1,230.18","146.20M","-0.06%"
"Jul 20, 2020","1,233.55","1,236.35","1,240.75","1,229.72","148.81M","-0.01%"
"Jul 17, 2020","1,233.67","1,221.95","1,237.75","1,221.74","166.86M","1.36%"
"Jul 16, 2020","1,217.06","1,216.90","1,217.59","1,208.61","132.13M","-0.17%"
"Jul 15, 2020","1,219.14","1,211.63","1,222.22","1,210.16","169.33M","1.32%"
"Jul 14, 2020","1,203.28","1,177.70","1,205.19","1,174.68","173.05M","1.96%"
"Jul 13, 2020","1,180.18","1,177.23","1,202.37","1,177.23","200.91M","0.53%"
"Jul 10, 2020","1,173.97","1,177.50","1,179.07","1,165.48","138.01M","-0.22%"
"Jul 09, 2020","1,176.56","1,185.96","1,189.29","1,162.44","155.62M","-0.82%"
"Jul 08, 2020","1,186.27","1,188.30","1,193.69","1,178.59","159.56M","0.02%"
"Jul 07, 2020","1,186.07","1,190.01","1,200.34","1,184.51","153.73M","-0.86%"
"Jul 06, 2020","1,196.34","1,191.49","1,203.18","1,191.01","155.72M","1.01%"
"Jul 02, 2020","1,184.43","1,181.32","1,190.99","1,181.32","160.55M","0.71%"
"Jul 01, 2020","1,176.09","1,172.84","1,180.64","1,165.62","204.95M","0.71%"
"Jun 30, 2020","1,167.80","1,147.26","1,172.72","1,144.78","183.20M","1.81%"
"Jun 29, 2020","1,147.04","1,142.62","1,149.17","1,137.27","158.06M","0.85%"
"Jun 26, 2020","1,137.37","1,150.53","1,151.83","1,131.86","319.76M","-1.22%"
"Jun 25, 2020","1,151.43","1,139.73","1,152.22","1,129.83","180.12M","1.03%"
"Jun 24, 2020","1,139.72","1,164.93","1,164.93","1,132.21","209.36M","-2.66%"
"Jun 23, 2020","1,170.82","1,169.03","1,180.76","1,168.73","180.58M","0.44%"
"Jun 22, 2020","1,165.74","1,167.49","1,167.49","1,154.09","169.90M","-0.36%"
"Jun 19, 2020","1,169.95","1,164.37","1,176.95","1,158.59","351.82M","0.87%"
"Jun 18, 2020","1,159.85","1,157.66","1,161.88","1,152.51","162.77M","-0.30%"
"Jun 17, 2020","1,163.36","1,168.05","1,172.26","1,160.18","164.70M","-0.08%"
"Jun 16, 2020","1,164.27","1,152.00","1,171.69","1,146.58","242.84M","2.44%"
"Jun 15, 2020","1,136.59","1,123.56","1,142.93","1,109.00","214.50M","0.18%"
"Jun 12, 2020","1,134.51","1,141.43","1,153.78","1,114.88","223.53M","0.70%"
"Jun 11, 2020","1,126.67","1,188.93","1,188.93","1,123.82","284.38M","-5.63%"
"Jun 10, 2020","1,193.84","1,199.67","1,203.36","1,188.70","192.88M","-0.14%"
"Jun 09, 2020","1,195.49","1,207.67","1,211.56","1,194.48","177.13M","-1.08%"
"Jun 08, 2020","1,208.56","1,198.65","1,208.68","1,192.38","205.15M","0.64%"
"Jun 05, 2020","1,200.89","1,184.12","1,209.37","1,183.26","233.60M","1.66%"
"Jun 04, 2020","1,181.32","1,188.23","1,191.09","1,173.63","188.02M","-0.81%"
"Jun 03, 2020","1,190.92","1,195.63","1,197.45","1,185.72","200.42M","-0.20%"
